YEAR,TEAM NO 1,TEAM 1,SEED 1,TEAM NO 2,TEAM 2,SEED 2,CURRENT ROUND,kp_pre_PRESEASON KADJ EM_DIFF,rppf_RADJ EM_DIFF,kp_pre_KADJ EM CHANGE_DIFF,rppf_pre_RPPF RATING CHANGE RANK_DIFF,kp_pre_PRESEASON KADJ O_DIFF,z_SEED LIST_DIFF,bart_TALENT_DIFF,ap_AP VOTES_DIFF,bart_BADJ O_DIFF,rppf_RADJ O_DIFF,shoot_FARTHER TWOS FG%_DIFF,teamrank_CONSISTENCY TR RATING_DIFF,SEED DIFF,bart_WAB_DIFF,TEAM 1 WIN
2026,1207,Duke,1,1168,Siena,16,64,30.79,42.5,10.2,-138,17.8,-62,87.283,,22.6,21.9,-4,2.4,-15,13.1,1
2026,1176,Ohio St.,8,1164,TCU,9,64,8,5,-3.34,52,8.7,-3,18.595,-12,5.4,8.6,8.5,-1.2,-1,-1.3,0
2026,1165,St. John's,5,1177,Northern Iowa,12,64,19.24,14.4,-5.14,98,9.6,-31,50.21,,13.7,10.6,-6,0,-7,7.5,1
2026,1193,Kansas,4,1210,Cal Baptist,13,64,24.8,18.7,-6.35,174,9.8,-36,56.372,,6.5,11.2,-4,1.8,-9,6,1
2026,1188,Louisville,6,1166,South Florida,11,64,17.57,9,-8.53,52,13.1,-23,8.292,,9.3,6.5,8.5,2,-5,1.7,1
2026,1183,Michigan St.,3,1178,North Dakota St.,14,64,25.42,24,-2.24,111,10,-46,68.594,,10.2,12.7,-0.4,-0.6,-11,6.6,1
2026,1156,UCLA,7,1157,UCF,10,64,12.32,7.4,-5.7,126,6.5,-10,28.185,31,7.4,3.3,2.9,0,-3,-2.1,1
2026,1208,Connecticut,2,1205,Furman,15,64,26.77,30.4,3.08,-97,14.6,-55,72.72,,15.2,14.9,-5.4,2.6,-13,11,1
2026,1206,Florida,1,1190,Lehigh,16,64,40.72,45.7,3.44,-117,24.1,-63,40.863,,26,24.1,2,2.9,-15,14.1,
2026,1206,Florida,1,1174,Prairie View A&M,16,64,42.57,46.6,1.92,79,25.7,-64,41.458,,22.4,26.3,5.8,1.5,-15,15.3,1
2026,1209,Clemson,8,1195,Iowa,9,64,3.6,-3.1,-6.8,4,1.2,-7,29.591,6,-5.1,-5.2,1.8,-2.1,-1,3.62,0
2026,1153,Vanderbilt,5,1187,McNeese St.,12,64,14.82,15.8,0.21,-5,9.1,-30,-12.518,537,15.9,13.3,1,2.2,-7,5.5,1
2026,1181,Nebraska,4,1158,Troy,13,64,12.33,25,12.11,-80,9.6,-40,42.258,,11.5,8.6,-2.4,-0.9,-9,8.7,1
2026,1180,North Carolina,6,1152,VCU,11,64,5.53,3.9,-1.89,72,7.5,-23,42.718,476,0.1,1.8,-1.2,2.5,-5,-1.7,0
2026,1196,Illinois,3,1175,Penn,14,64,35.34,31.4,-4.71,133,17.1,-46,45.864,,22.8,24.5,2.9,2.4,-11,10.1,1
2026,1170,Saint Mary's,7,1160,Texas A&M,10,64,-4.2,4.3,8.6,-60,-3,-14,7.448,110,-2.7,-0.6,-0.8,-3.4,-3,-0.5,0
2026,1199,Houston,2,1197,Idaho,15,64,37.69,33.1,-5.79,123,15.5,-55,81.768,,18.1,16.6,1.9,-0.5,-13,11.3,1
2026,1213,Arizona,1,1189,LIU Brooklyn,16,64,32.9,43.3,8.71,-62,21.8,-62,73.306,,24.9,23.8,3.9,-0.3,-15,15.3,1
2026,1151,Villanova,8,1154,Utah St.,9,64,-2.08,-0.9,1.29,45,-4.4,-3,37.292,-18,-3.1,-1.7,-1.7,-3.6,-1,1,0
2026,1149,Wisconsin,5,1201,High Point,12,64,15.04,16.5,-0.05,-2,6.3,-30,24.714,378,8.8,9.7,4.4,0.4,-7,4.2,0
2026,1212,Arkansas,4,1202,Hawaii,13,64,15.3,21.6,4.78,7,9.2,-38,71.277,,16.9,21.9,-3.2,0.2,-9,5.5,1
2026,1211,BYU,6,1179,North Carolina St.,11,64,4.53,4,-0.88,72,6.2,-17,-14.256,60,-4.4,1.5,8.3,-2.2,-5,1.8,
2026,1211,BYU,6,1161,Texas,11,64,4.93,4.5,-0.72,30,7.2,-18,-7.019,50,-1.4,1.3,0.6,0.7,-5,2.6,0
2026,1203,Gonzaga,3,1192,Kennesaw St.,14,64,25.04,27.9,2.49,-156,13.9,-47,23.539,,15.9,11.2,13.6,3,-11,10.5,1
2026,1186,Miami FL,7,1182,Missouri,10,64,-9.26,5.3,14.55,-167,-7.8,-12,14.382,108,2.7,2,5.1,-2.6,-3,4.63,1
2026,1173,Purdue,2,1172,Queens,15,64,34.13,34.2,-1.49,78,19.7,-54,50.292,,22.7,16.4,1.6,1.9,-13,13.7,1
2026,1184,Michigan,1,1198,Howard,16,64,36,41.7,4.78,43,16.4,-62,69.652,,26.7,24.3,2.3,1,-15,14.4,1
2026,1184,Michigan,1,1155,UMBC,16,64,34.77,39.9,4.49,20,14.8,-63,62.054,,18,19.6,-1.1,0.8,-15,14.1,
2026,1204,Georgia,8,1171,Saint Louis,9,64,4.84,2.5,-2.68,74,2.9,-3,39.107,7,9.5,5.3,3.2,-0.3,-1,2.1,0
2026,1159,Texas Tech,5,1215,Akron,12,64,15.93,13.7,-3.5,14,8.1,-29,28.875,373,8.5,7,-0.2,2.4,-7,3.43,1
2026,1214,Alabama,4,1200,Hofstra,13,64,22.23,16.8,-6,130,15.8,-38,73.355,,12.4,16.2,6.7,-0.9,-9,7.4,1
2026,1163,Tennessee,6,1167,SMU,11,64,7.64,8,0.29,4,0.3,-22,15.459,108,0.1,-2,-7.7,-2.4,-5,3.5,
2026,1163,Tennessee,6,1185,Miami OH,11,64,22.95,19,-5.19,48,9,-23,48.562,12,2.9,4.3,-7,-0.4,-5,0.8,1
2026,1150,Virginia,3,1148,Wright St.,14,64,17.4,25.8,7.27,59,9,-45,53.614,,8.7,10.9,4.9,0.8,-11,8.4,1
2026,1191,Kentucky,7,1169,Santa Clara,10,64,22.84,2.1,-20.76,234,11.3,-12,65.076,2,-9,-3.4,-9.2,0,-3,1.6,1
2026,1194,Iowa St.,2,1162,Tennessee St.,15,64,30.52,35.2,3.73,12,13.7,-52,47.178,,16.3,15,2.3,1,-13,8.5,1
2026,1207,Duke,1,1176,Ohio St.,8,32,6.05,16.7,10.61,-124,2.2,-30,22.215,1413,4.2,3.7,-7.5,1.6,-7,8.5,
2026,1207,Duke,1,1164,TCU,9,32,14.05,21.7,7.27,-72,10.9,-33,40.81,1401,9.6,12.3,1,0.4,-8,7.2,1
2026,1193,Kansas,4,1165,St. John's,5,32,-2.03,-2.1,0.56,26,-2.4,-3,-12.236,-357,-9.3,-1.9,-1,0.3,-1,-2.5,0
2026,1183,Michigan St.,3,1188,Louisville,6,32,-3.42,3,6.3,-48,-6.3,-14,29.674,721,-1.7,-0.3,-2.1,-0.6,-3,1.5,1
2026,1183,Michigan St.,3,1166,South Florida,11,32,14.15,12,-2.23,4,6.8,-37,37.966,,7.6,6.2,6.4,1.4,-8,3.2,
2026,1208,Connecticut,2,1156,UCLA,7,32,3.38,5.5,2.83,-93,4.4,-22,13.985,994,0,-2.2,1.1,1.6,-5,6.7,1
2026,1208,Connecticut,2,1157,UCF,10,32,15.7,12.9,-2.87,33,10.9,-32,42.17,1025,7.4,1.1,4,1.6,-8,4.6,
2026,1206,Florida,1,1209,Clemson,8,32,9.59,15.2,4.96,15,6,-25,-2.201,1212,8.9,10.2,-2.3,3.3,-7,2.1,
2026,1206,Florida,1,1195,Iowa,9,32,13.19,12.1,-1.84,19,7.2,-32,27.39,1218,3.8,5,-0.5,1.2,-8,5.72,0
2026,1181,Nebraska,4,1153,Vanderbilt,5,32,-6.69,-1.7,5.34,-13,-2.5,-4,6.494,151,-6.1,-8.8,-5.8,-1.5,-1,-1.2,1
2026,1196,Illinois,3,1180,North Carolina,6,32,7.58,11.5,3.68,-86,4.4,-12,-0.779,313,13.6,10.1,-2.5,1.4,-3,4.6,
2026,1196,Illinois,3,1152,VCU,11,32,13.11,15.4,1.79,-14,11.9,-35,41.939,789,13.7,11.9,-3.7,3.9,-8,2.9,1
2026,1199,Houston,2,1170,Saint Mary's,7,32,16.47,10.9,-6.11,76,8.3,-21,44.979,1101,10.8,4.9,2.2,1.2,-5,4.6,
2026,1199,Houston,2,1160,Texas A&M,10,32,12.27,15.2,2.49,16,5.3,-35,52.427,1211,8.1,4.3,1.4,-2.2,-8,4.1,1
2026,1213,Arizona,1,1151,Villanova,8,32,8.45,18.6,9.24,-79,6.4,-28,9.756,1362,10.7,8.2,4.4,-1,-7,6.8,
2026,1213,Arizona,1,1154,Utah St.,9,32,6.37,17.7,10.53,-34,2,-31,47.048,1344,7.6,6.5,2.7,-4.6,-8,7.8,1
2026,1212,Arkansas,4,1149,Wisconsin,5,32,-1.61,2.2,4.26,-8,-2.1,-4,41.902,358,0.8,2.6,-5.9,-0.5,-1,0.4,
2026,1203,Gonzaga,3,1211,BYU,6,32,2.84,4.6,2.01,-117,-0.7,-13,-12.168,767,0.8,-4.5,4,2.1,-3,1.6,
2026,1203,Gonzaga,3,1179,North Carolina St.,11,32,7.37,8.6,1.13,-45,5.5,-30,-26.424,827,-3.6,-3,12.3,-0.1,-8,3.4,
2026,1203,Gonzaga,3,1161,Texas,11,32,7.77,9.1,1.29,-87,6.5,-31,-19.187,817,-0.6,-3.2,4.6,2.8,-8,4.2,0
2026,1173,Purdue,2,1186,Miami FL,7,32,18.27,11,-7.75,80,14.4,-19,-21.483,802,13.2,10.5,4.3,3.5,-5,4.4,1
2026,1173,Purdue,2,1182,Missouri,10,32,9.01,16.3,6.8,-87,6.6,-31,-7.101,910,15.9,12.5,9.4,0.9,-8,9.03,
2026,1184,Michigan,1,1204,Georgia,8,32,7.34,17.4,9.78,-100,2.6,-29,8.832,1300,2.4,2.2,0.7,0.3,-7,8.6,
2026,1184,Michigan,1,1171,Saint Louis,9,32,12.18,19.9,7.1,-26,5.5,-32,47.939,1307,11.9,7.5,3.9,0,-8,10.7,1
2026,1214,Alabama,4,1159,Texas Tech,5,32,-3.17,0.5,3.66,25,-1.4,-5,31.88,62,2.8,4.8,0.8,-2.1,-1,1.4,0
2026,1150,Virginia,3,1163,Tennessee,6,32,-11.1,1,11.79,-83,-2.4,-9,-5.934,791,0.9,1.8,6.4,2.4,-3,3.4,0
2026,1150,Virginia,3,1167,SMU,11,32,-3.46,9,12.08,-79,-2.1,-31,9.525,899,1,-0.2,-1.3,0,-8,6.9,
2026,1150,Virginia,3,1185,Miami OH,11,32,11.85,20,6.6,-35,6.6,-32,42.628,803,3.8,6.1,-0.6,2,-8,4.2,
2026,1194,Iowa St.,2,1191,Kentucky,7,32,-4.8,11.3,15.74,-185,-6.4,-18,-34.623,1092,5.9,3.2,0.3,0.9,-5,2.2,1
2026,1194,Iowa St.,2,1169,Santa Clara,10,32,18.04,13.4,-5.02,49,4.9,-30,30.453,1094,-3.1,-0.2,-8.9,0.9,-8,3.8,
2026,1207,Duke,1,1193,Kansas,4,16,4.93,15.3,9.53,-134,6.5,-14,33.313,915,13.4,9.8,4.5,0.1,-3,6.1,
2026,1207,Duke,1,1165,St. John's,5,16,2.9,13.2,10.09,-108,4.1,-17,21.077,558,4.1,7.9,3.5,0.4,-4,3.6,
2026,1206,Florida,1,1181,Nebraska,4,16,14.25,8.4,-6.62,54,7.1,-9,-0.769,532,4.6,8,7.1,1,-3,0.7,
2026,1206,Florida,1,1153,Vanderbilt,5,16,7.56,6.7,-1.28,41,4.6,-13,5.725,683,-1.5,-0.8,1.3,-0.5,-4,-0.5,
2026,1213,Arizona,1,1212,Arkansas,4,16,3.79,11.6,7.82,-89,3.6,-14,-7.019,622,2.3,-0.5,9,-4,-3,6.6,
2026,1213,Arizona,1,1149,Wisconsin,5,16,2.18,13.8,12.08,-97,1.5,-18,34.883,980,3.1,2.1,3.1,-4.5,-4,7,
2026,1184,Michigan,1,1214,Alabama,4,16,3.58,11.8,8.3,-83,-0.5,-11,-3.703,872,-1.6,-2.6,-4.5,2.7,-3,6.1,
2026,1184,Michigan,1,1159,Texas Tech,5,16,0.41,12.3,11.96,-58,-1.9,-16,28.177,934,1.2,2.2,-3.7,0.6,-4,7.5,
