CONF ID,CONF,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,CHAMP%
2,ACC,15.2,1,10.2,1,255,161,94,0.631,99,66,44,26,13,7,5,28,96.40%
14,Horz,5.9,4,7.9,2,31,13,18,0.419,18,5,2,2,2,2,0,0,3.70%
28,SEC,6.6,2,7.5,3,228,134,94,0.588,96,59,37,23,10,3,2,18,92.30%
24,P12,6.1,3,7.3,4,146,83,63,0.568,63,44,27,9,3,0,0,9,66.50%
6,B10,2.2,8,5.9,5,271,159,112,0.587,112,84,43,17,10,5,0,21,93.00%
19,MVC,2.3,7,4.5,6,44,22,22,0.5,22,13,5,2,2,0,0,1,17.10%
13,CUSA,3.8,5,4.3,7,36,17,19,0.472,19,9,3,2,2,1,0,2,31.90%
15,Ivy,2.9,6,3.6,8,24,8,16,0.333,16,6,2,0,0,0,0,0,0.50%
16,MAAC,1.8,9,2.2,9,21,5,16,0.238,16,3,1,1,0,0,0,0,0.00%
26,SB,1.7,10,1.2,10,21,5,16,0.238,16,4,1,0,0,0,0,0,0.20%
5,ASun,0,17,1.1,11,21,4,17,0.19,17,3,1,0,0,0,0,0,0.50%
29,Slnd,0.9,11,0.9,12,18,4,14,0.222,14,4,0,0,0,0,0,0,0.30%
17,MAC,0,16,0.7,13,23,6,17,0.261,17,5,1,0,0,0,0,0,0.20%
21,NEC,0.3,12,0.6,14,11,1,10,0.091,10,1,0,0,0,0,0,0,0.00%
18,MEAC,0.2,13,0.4,15,13,1,12,0.077,12,1,0,0,0,0,0,0,0.00%
33,WCC,-2.9,28,0.4,16,74,42,32,0.568,32,22,11,5,2,2,0,6,71.40%
22,OVC,0.1,14,0.2,17,21,5,16,0.238,16,5,0,0,0,0,0,0,0.30%
12,CAA,0,15,0.1,18,26,7,19,0.269,19,4,1,1,1,0,0,0,1.10%
27,SC,-1.2,20,0,19,22,5,17,0.227,17,3,1,1,0,0,0,0,2.40%
31,SWAC,-0.2,18,-0.1,20,9,0,9,0,9,0,0,0,0,0,0,0,0.00%
3,AE,-1.8,22,-0.9,21,18,1,17,0.056,17,1,0,0,0,0,0,0,0.00%
30,Sum,-1.1,19,-0.9,22,20,3,17,0.15,17,2,1,0,0,0,0,0,0.00%
11,BW,-1.8,23,-1.3,23,19,2,17,0.105,17,2,0,0,0,0,0,0,0.20%
25,Pat,-2.2,26,-1.4,24,17,1,16,0.059,16,1,0,0,0,0,0,0,0.10%
10,BSth,-1.5,21,-1.7,25,15,0,15,0,15,0,0,0,0,0,0,0,0.00%
4,Amer,-5.8,30,-1.8,26,51,27,24,0.529,25,14,6,3,2,1,1,3,51.20%
9,BSky,-2.7,27,-2.3,27,16,0,16,0,16,0,0,0,0,0,0,0,0.00%
32,WAC,-4.2,29,-3.9,28,20,2,18,0.1,18,2,0,0,0,0,0,0,1.00%
1,A10,-2,24,-6.2,29,81,32,49,0.395,49,23,7,2,0,0,0,0,9.10%
8,BE,-2.2,25,-9.8,30,240,143,97,0.596,103,66,34,19,12,6,6,24,95.30%
7,B12,-9.8,31,-13.2,31,260,153,107,0.588,110,76,38,22,8,6,3,23,96.90%
20,MWC,-12.4,32,-15.1,32,70,25,45,0.357,45,16,6,1,1,1,0,1,18.70%