YEAR,TEAM NO,TEAM,R64,R32,S16,E8,F4,FINALS
2025,1147,Akron,11.13%,3.59%,0.50%,0.19%,0.09%,0.05%
2025,1146,Alabama,96.12%,83.81%,60.68%,17.61%,8.20%,3.06%
2025,1145,Alabama St.,0.21%,0.09%,0.04%,0.03%,0.02%,0.01%
2025,1143,Arizona,87.59%,57.44%,8.77%,3.85%,1.54%,0.68%
2025,1142,Arkansas,34.92%,5.94%,2.04%,0.48%,0.20%,0.10%
2025,1141,Auburn,98.46%,88.21%,73.91%,51.93%,23.52%,11.13%
2025,1140,Baylor,60.72%,3.44%,1.34%,0.60%,0.23%,0.10%
2025,1139,Bryant,2.93%,1.14%,0.53%,0.18%,0.07%,0.03%
2025,1138,BYU,64.57%,24.50%,7.81%,1.03%,0.35%,0.16%
2025,1137,Clemson,83.94%,50.78%,10.33%,3.85%,1.06%,0.38%
2025,1136,Colorado St.,31.62%,7.62%,0.74%,0.29%,0.12%,0.06%
2025,1135,Connecticut,70.30%,9.53%,6.18%,2.56%,1.35%,0.69%
2025,1134,Creighton,43.78%,4.17%,1.83%,0.70%,0.24%,0.11%
2025,1133,Drake,40.72%,11.79%,2.19%,0.49%,0.20%,0.07%
2025,1132,Duke,97.77%,93.19%,82.27%,66.26%,50.73%,30.66%
2025,1131,Florida,97.46%,86.57%,77.03%,58.38%,38.98%,20.51%
2025,1130,Georgia,26.60%,4.95%,2.18%,0.93%,0.54%,0.39%
2025,1129,Gonzaga,71.85%,12.89%,7.40%,3.09%,1.01%,0.52%
2025,1128,Grand Canyon,12.34%,3.89%,0.55%,0.22%,0.09%,0.04%
2025,1127,High Point,14.89%,3.35%,0.49%,0.20%,0.08%,0.04%
2025,1126,Houston,97.02%,80.33%,68.43%,46.09%,17.18%,8.75%
2025,1125,Illinois,75.24%,24.09%,6.81%,1.61%,0.48%,0.23%
2025,1124,Iowa St.,93.44%,66.45%,21.54%,6.18%,2.00%,0.61%
2025,1123,Kansas,63.69%,19.06%,9.65%,3.17%,1.69%,0.91%
2025,1122,Kentucky,93.65%,67.42%,24.28%,11.14%,3.95%,1.61%
2025,1121,Liberty,17.36%,4.12%,0.50%,0.21%,0.09%,0.04%
2025,1120,Lipscomb,5.96%,1.68%,0.42%,0.15%,0.06%,0.03%
2025,1119,Louisville,55.57%,6.52%,3.76%,1.84%,0.39%,0.15%
2025,1118,Marquette,64.03%,11.09%,4.61%,1.04%,0.34%,0.13%
2025,1117,Maryland,86.38%,58.24%,9.36%,4.26%,1.58%,0.64%
2025,1116,McNeese St.,14.50%,4.97%,0.58%,0.22%,0.09%,0.04%
2025,1115,Memphis,67.04%,29.15%,3.97%,1.45%,0.53%,0.19%
2025,1114,Michigan,77.22%,49.74%,11.44%,4.76%,2.03%,0.97%
2025,1113,Michigan St.,96.67%,83.64%,63.36%,26.94%,10.23%,4.21%
2025,1112,Mississippi,65.14%,20.08%,5.67%,1.18%,0.55%,0.12%
2025,1111,Mississippi St.,37.85%,1.82%,0.74%,0.27%,0.10%,0.05%
2025,1110,Missouri,57.88%,18.20%,5.28%,0.93%,0.33%,0.16%
2025,1109,Montana,5.42%,1.63%,0.46%,0.17%,0.07%,0.03%
2025,1108,Mount St. Mary's,1.37%,0.62%,0.32%,0.18%,0.09%,0.04%
2025,1107,Nebraska Omaha,3.61%,1.12%,0.51%,0.20%,0.09%,0.04%
2025,1106,New Mexico,35.17%,3.61%,1.20%,0.31%,0.11%,0.05%
2025,1105,Norfolk St.,1.67%,0.69%,0.35%,0.19%,0.09%,0.04%
2025,1104,North Carolina,30.97%,9.76%,1.83%,0.56%,0.25%,0.16%
2025,1103,Oklahoma,28.37%,2.32%,1.08%,0.43%,0.18%,0.07%
2025,1102,Oregon,81.32%,33.74%,4.78%,1.92%,0.78%,0.36%
2025,1101,Purdue,83.58%,39.62%,9.22%,3.20%,1.06%,0.49%
2025,1100,Robert Morris,2.83%,1.05%,0.47%,0.18%,0.07%,0.03%
2025,1098,Saint Mary's,56.98%,9.11%,3.34%,0.61%,0.21%,0.08%
2025,1096,SIU Edwardsville,1.82%,0.68%,0.35%,0.19%,0.09%,0.04%
2025,1095,St. John's,95.34%,72.90%,53.52%,19.29%,10.78%,4.78%
2025,1094,Tennessee,95.71%,82.89%,60.62%,25.91%,8.29%,3.25%
2025,1092,Texas A&M,76.72%,35.10%,6.39%,2.62%,0.84%,0.30%
2025,1091,Texas Tech,93.13%,67.29%,25.53%,6.85%,2.40%,0.67%
2025,1090,Troy,4.88%,1.48%,0.42%,0.17%,0.07%,0.03%
2025,1089,UC San Diego,22.22%,9.47%,1.07%,0.44%,0.18%,0.08%
2025,1088,UCLA,67.19%,12.05%,4.44%,1.73%,0.56%,0.31%
2025,1087,UNC Wilmington,5.61%,1.64%,0.44%,0.17%,0.07%,0.03%
2025,1086,Utah St.,31.12%,2.76%,0.82%,0.24%,0.09%,0.04%
2025,1085,Vanderbilt,41.58%,4.99%,1.75%,0.35%,0.14%,0.06%
2025,1084,VCU,34.02%,8.38%,1.54%,0.29%,0.11%,0.06%
2025,1083,Wisconsin,93.37%,64.39%,23.05%,5.59%,2.37%,1.00%
2025,1082,Wofford,3.01%,1.09%,0.52%,0.20%,0.10%,0.04%
2025,1081,Xavier,22.85%,5.56%,0.94%,0.28%,0.11%,0.06%
2025,1080,Yale,22.64%,5.08%,0.87%,0.47%,0.29%,0.18%