SEED,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,CHAMP%
11,14.2,2,14.8,1,127,59,68,0.465,68,33,16,6,4,0,0,0,11.80%
15,3.8,5,5.2,2,80,12,68,0.15,68,7,4,1,0,0,0,0,0.00%
3,5.9,3,4,3,196,129,67,0.658,68,60,40,20,5,3,1,0,80.70%
4,2.5,6,3.8,4,177,110,67,0.621,68,53,37,11,6,2,1,0,75.80%
8,-0.3,8,3,5,119,51,68,0.429,68,35,7,3,3,3,0,0,16.30%
9,-1.3,10,2.8,6,112,44,68,0.393,68,33,5,4,2,0,0,0,12.40%
12,3.8,4,2.6,7,105,37,68,0.352,68,28,8,1,0,0,0,0,4.60%
7,1,7,1.6,8,129,62,67,0.481,68,41,12,4,3,1,1,0,22.60%
16,-1.1,9,1.1,9,70,2,68,0.029,68,2,0,0,0,0,0,0,0.00%
13,-3.6,11,0.4,10,85,17,68,0.2,68,15,2,0,0,0,0,0,0.60%
1,23.9,1,-2,11,280,225,55,0.804,68,66,56,42,28,20,13,68,99.90%
10,-7.6,14,-2.2,12,107,39,68,0.364,68,27,8,3,1,0,0,0,13.50%
14,-7.3,13,-2.6,13,76,8,68,0.105,68,8,0,0,0,0,0,0,0.50%
5,-10.9,15,-2.8,14,143,75,68,0.524,68,40,21,7,5,2,0,0,51.00%
2,-5.5,12,-9.5,15,216,149,67,0.69,68,61,44,29,11,3,1,68,97.70%
6,-19.2,16,-19.8,16,120,52,68,0.433,68,35,12,5,0,0,0,0,31.20%