YEAR,TEAM NO,TEAM,SEED,ROUND,NET,KPI,SOR,WAB RANK,RESUME AVG,RESUME AVG RANK,BPI,KP,SAG,TRK,QUALITY AVG,QUALITY AVG RANK,Q1A W,Q1A L,Q1 W,Q1 L,Q2 W,Q2 L,Q1&2 W,Q1&2 L,Q3 W,Q3 L,Q4 W,Q4 L
2026,1215,Akron,12,0,54,63,52,53,56,57,77,64,,71,70.7,69,0,1,0,2,0,2,0,4,11,1,16,0
2026,1214,Alabama,4,0,18,12,15,14,13.7,14,15,17,,18,16.7,18,4,6,7,7,9,2,16,9,5,0,2,0
2026,1213,Arizona,1,0,3,3,1,3,2.3,3,3,3,,3,3,3,9,1,16,2,8,0,24,2,1,0,7,0
2026,1212,Arkansas,4,0,17,19,10,15,14.7,15,19,18,,20,19,20,3,7,8,8,8,0,16,8,4,0,6,0
2026,1211,BYU,6,0,23,22,24,22,22.7,22,18,23,,33,24.7,23,2,7,7,10,8,1,15,11,3,0,5,0
2026,1210,Cal Baptist,13,0,98,83,86,76,81.7,81,137,106,,96,113,111,0,1,0,1,2,4,2,5,6,3,17,0
2026,1209,Clemson,8,0,34,31,32,29,30.7,30,29,36,,30,31.7,31,1,5,6,6,7,4,13,10,4,0,7,0
2026,1208,Connecticut,2,0,10,6,4,6,5.3,6,10,12,,9,10.3,10,6,3,7,3,11,1,18,4,6,1,5,0
2026,1207,Duke,1,0,1,2,3,2,2.3,3,1,1,,1,1,1,9,2,17,2,6,0,23,2,2,0,7,0
2026,1206,Florida,1,0,4,4,5,5,4.7,4,5,4,,4,4.3,4,3,4,12,6,6,1,18,7,3,0,5,0
2026,1205,Furman,15,0,186,167,158,165,163.3,163,159,190,,195,181.3,184,0,0,0,1,0,2,0,3,5,5,14,4
2026,1204,Georgia,8,0,33,37,31,34,34,33,33,32,,37,34,32,1,3,6,7,6,2,12,9,1,1,9,0
2026,1203,Gonzaga,3,0,6,17,11,17,15,17,8,10,,11,9.7,9,2,2,7,2,4,0,11,2,11,1,8,0
2026,1202,Hawaii,13,0,101,108,104,95,102.3,100,122,107,,116,115,113,0,0,0,0,0,4,0,4,8,2,14,2
2026,1201,High Point,12,0,76,96,67,71,78,76,63,92,,93,82.7,85,0,0,0,0,0,2,0,2,5,2,22,0
2026,1200,Hofstra,13,0,88,79,102,102,94.3,94,102,88,,91,93.7,93,0,0,0,1,2,2,2,3,10,4,10,3
2026,1199,Houston,2,0,5,5,6,4,5,5,4,5,,5,4.7,5,5,6,10,6,9,0,19,6,3,0,6,0
2026,1198,Howard,16,0,203,238,182,132,184,184,204,207,,206,205.7,208,0,1,0,2,1,2,1,4,1,0,17,6
2026,1197,Idaho,15,0,144,231,202,198,210.3,200,172,145,,136,151,150,0,0,0,0,0,3,0,3,9,8,9,3
2026,1196,Illinois,3,0,8,18,17,18,17.7,18,7,7,,6,6.7,7,5,7,7,8,5,0,12,8,7,0,5,0
2026,1195,Iowa,9,0,27,51,39,38,42.7,42,31,25,,26,27.3,28,1,8,4,9,5,1,9,10,6,2,6,0
2026,1194,Iowa St.,2,0,7,14,14,10,12.7,11,6,6,,7,6.3,6,4,5,8,7,10,0,18,7,2,0,7,0
2026,1193,Kansas,4,0,21,11,18,16,15,17,21,21,,22,21.3,21,6,6,9,9,7,1,16,10,4,0,3,0
2026,1192,Kennesaw St.,14,0,155,156,148,160,154.7,153,125,163,,145,144.3,144,0,1,0,1,0,3,0,4,5,5,13,4
2026,1191,Kentucky,7,0,28,34,27,26,29,29,23,28,,31,27.3,28,4,9,5,11,7,2,12,13,3,0,6,0
2026,1190,Lehigh,16,0,275,275,295,243,271,266,288,284,,283,285,284,0,1,0,2,0,1,0,3,1,5,15,8
2026,1189,LIU Brooklyn,16,0,198,204,142,122,156,155,217,216,,235,222.7,222,0,2,0,2,0,2,0,4,1,3,23,3
2026,1188,Louisville,6,0,16,26,26,24,25.3,24,11,19,,17,15.7,16,1,8,8,10,4,0,12,10,4,0,7,0
2026,1187,McNeese St.,12,0,56,81,46,48,58.3,62,60,68,,73,67,66,0,2,0,2,2,2,2,4,8,0,16,1
2026,1186,Miami FL,7,0,32,32,25,25,27.3,26,40,31,,35,35.3,34,3,5,6,6,6,2,12,8,3,0,10,0
2026,1185,Miami OH,11,0,64,53,28,37,39.3,39,93,93,,86,90.7,89,0,0,0,0,3,0,3,0,10,0,15,1
2026,1184,Michigan,1,0,2,1,2,1,1.3,1,2,2,,2,2,2,10,2,16,3,6,0,22,3,6,0,3,0
2026,1183,Michigan St.,3,0,11,13,13,11,12.3,10,13,9,,12,11.3,11,3,5,9,6,5,1,14,7,7,0,4,0
2026,1182,Missouri,10,0,58,50,40,41,43.7,43,44,52,,46,47.3,48,3,4,5,7,4,5,9,12,3,0,8,0
2026,1181,Nebraska,4,0,14,20,9,12,13.7,14,17,14,,19,16.7,18,3,6,9,6,6,0,15,6,5,0,6,0
2026,1180,North Carolina,6,0,24,16,21,21,19.3,20,30,29,,27,28.7,29,3,5,6,8,5,0,11,8,8,0,5,0
2026,1179,North Carolina St.,11,0,36,33,45,43,40.3,40,37,34,,38,36.3,36,2,6,5,8,6,4,11,12,5,0,4,1
2026,1178,North Dakota St.,14,0,114,129,98,92,106.3,104,133,113,,114,120,121,0,0,0,0,0,1,0,1,5,4,19,2
2026,1177,Northern Iowa,12,0,72,77,105,99,93.7,93,82,71,,70,74.3,75,0,1,0,2,4,5,4,7,7,5,11,0
2026,1176,Ohio St.,8,0,29,42,33,32,35.7,35,26,26,,23,25,25,1,10,4,11,5,1,9,12,6,0,6,0
2026,1175,Penn,14,0,148,121,124,125,123.3,121,167,159,,147,157.7,157,0,0,0,2,1,4,1,6,6,3,10,2
2026,1174,Prairie View A&M,16,0,300,306,325,257,296,304,297,288,,281,288.7,290,0,0,0,3,0,2,0,5,0,1,14,11
2026,1173,Purdue,2,0,9,9,12,7,9.3,9,9,8,,8,8.3,8,7,6,11,8,6,0,17,8,7,0,3,0
2026,1172,Queens,15,0,189,172,143,138,151,147,193,181,,198,190.7,188,0,4,0,5,0,2,0,7,2,2,18,4
2026,1171,Saint Louis,9,0,30,29,38,42,36.3,36,35,41,,43,39.7,41,0,0,2,1,6,3,8,4,6,1,13,0
2026,1170,Saint Mary's,7,0,22,24,29,31,28,27,27,24,,24,25,25,1,3,1,4,8,1,9,5,10,0,7,0
2026,1169,Santa Clara,10,0,40,38,41,36,38.3,38,49,35,,28,37.3,38,1,4,2,6,6,1,8,7,10,0,7,1
2026,1168,Siena,16,0,183,140,159,155,151.3,148,196,192,,186,191.3,190,0,0,0,1,0,0,0,1,2,6,21,4
2026,1167,SMU,11,0,37,41,49,45,45,45,42,42,,42,42,44,0,6,4,9,5,4,9,13,5,0,6,0
2026,1166,South Florida,11,0,45,35,51,58,48,47,52,49,,51,50.7,50,0,1,2,3,6,2,8,5,7,3,9,0
2026,1165,St. John's,5,0,15,10,16,13,13,12,16,16,,15,15.7,16,3,2,5,5,11,0,16,5,9,1,3,0
2026,1164,TCU,9,0,39,36,35,33,34.7,34,48,43,,48,46.3,45,4,6,6,7,7,2,13,9,2,1,7,1
2026,1163,Tennessee,6,0,20,25,22,23,23.3,23,12,15,,16,14.3,13,4,7,6,10,6,1,12,11,3,0,7,0
2026,1162,Tennessee St.,15,0,172,150,128,115,131,130,206,187,,218,203.7,205,0,1,0,2,1,0,1,2,3,1,16,6
2026,1161,Texas,11,0,42,66,44,46,52,50,39,37,,45,40.3,43,2,9,6,9,1,4,7,13,3,1,7,0
2026,1160,Texas A&M,10,0,44,52,36,39,42.3,41,32,39,,39,36.7,37,2,5,5,8,4,3,9,11,4,0,8,0
2026,1159,Texas Tech,5,0,19,15,20,19,18,19,22,20,,13,18.3,19,4,6,7,9,5,1,12,10,7,0,3,0
2026,1158,Troy,13,0,125,87,126,129,114,112,134,143,,142,139.7,140,0,0,1,0,2,1,3,1,4,7,13,3
2026,1157,UCF,10,0,51,28,37,35,33.3,32,57,54,,57,56,55,1,5,5,8,6,3,11,11,4,0,6,0
2026,1156,UCLA,7,0,31,39,30,27,32,31,25,27,,25,25.7,26,4,8,5,8,5,3,10,11,6,0,7,0
2026,1155,UMBC,16,0,196,215,122,106,147.7,145,180,185,,185,183.3,185,0,0,0,2,0,2,0,4,0,1,22,3
2026,1154,Utah St.,9,0,26,21,34,30,28.3,28,34,30,,29,31,30,0,0,4,4,9,1,13,5,9,1,5,0
2026,1153,Vanderbilt,5,0,13,8,7,9,8,8,14,11,,10,11.7,12,5,4,10,7,7,1,17,8,3,0,6,0
2026,1152,VCU,11,0,43,30,42,40,37.3,37,46,46,,49,47,47,0,3,2,5,5,2,7,7,9,0,11,0
2026,1151,Villanova,8,0,35,27,23,28,26,25,36,33,,36,35,33,1,6,2,6,8,1,10,7,9,1,5,0
2026,1150,Virginia,3,0,12,7,8,8,7.7,7,20,13,,14,15.7,16,3,2,8,4,9,1,17,5,5,0,7,0
2026,1149,Wisconsin,5,0,25,23,19,20,20.7,21,24,22,,21,22.3,22,5,5,8,8,5,1,13,9,5,1,6,0
2026,1148,Wright St.,14,0,127,144,139,136,139.7,135,140,140,,130,136.7,135,0,0,0,1,0,2,0,3,5,6,16,2
2025,1147,Akron,13,64,91,63,66,65,64.7,62,112,99,,101,104,104,0,1,0,1,1,2,1,3,6,3,19,0
2025,1146,Alabama,2,8,6,2,6,4,4,4,6,6,,5,5.7,6,10,6,11,8,8,0,19,8,4,0,2,0
2025,1145,Alabama St.,16,64,274,256,252,203,237,223,276,273,,274,274.3,275,0,1,0,3,0,3,0,6,3,1,15,8
2025,1144,American,16,68,226,214,163,163,180,178,227,237,,244,236,236,0,1,0,1,0,3,0,4,1,2,19,6
2025,1143,Arizona,4,16,12,25,20,16,20.3,22,9,14,,9,10.7,11,6,7,9,12,5,0,14,12,4,0,4,0
2025,1142,Arkansas,10,16,40,43,45,40,42.7,40,42,40,,43,41.7,39,3,7,5,10,4,3,9,13,4,0,7,0
2025,1141,Auburn,1,4,2,1,1,1,1,1,3,4,,3,3.3,4,9,5,15,5,7,0,22,5,2,0,4,0
2025,1140,Baylor,9,32,30,52,40,39,43.7,43,19,29,,27,25,24,1,11,5,12,7,1,12,13,1,1,5,0
2025,1139,Bryant,15,64,141,164,143,140,149,151,131,149,,153,144.3,143,0,1,0,1,0,3,0,4,3,2,18,5
2025,1138,BYU,6,16,24,31,19,21,23.7,23,24,24,,14,20.7,21,3,4,7,7,7,2,14,9,4,0,6,0
2025,1137,Clemson,5,64,22,19,15,22,18.7,20,15,18,,21,18,16,2,2,5,3,8,2,13,5,9,1,5,0
2025,1136,Colorado St.,12,32,47,44,49,47,46.7,48,53,42,,38,44.3,43,0,1,3,5,7,2,10,7,5,2,10,0
2025,1135,Connecticut,8,32,32,46,31,36,37.7,38,16,35,,35,28.7,30,4,2,5,5,8,4,13,9,4,1,6,0
2025,1134,Creighton,9,32,38,37,24,31,30.7,31,26,37,,33,32,33,2,5,6,6,5,4,11,10,8,0,5,0
2025,1133,Drake,11,32,56,33,32,41,35.3,35,73,58,,58,63,64,0,0,2,0,4,0,6,0,11,3,11,0
2025,1132,Duke,1,4,1,6,4,6,5.3,6,1,1,,2,1.3,1,6,3,9,3,7,0,16,3,10,0,5,0
2025,1131,Florida,1,1,4,3,3,3,3,3,4,2,,4,3.3,4,7,3,11,4,9,0,20,4,4,0,6,0
2025,1130,Georgia,9,64,33,38,35,33,35.3,35,38,34,,30,34,35,4,7,4,11,5,1,9,12,3,0,8,0
2025,1129,Gonzaga,8,32,8,26,39,35,33.3,33,10,9,,11,10,9,1,2,4,6,6,2,10,8,5,0,10,0
2025,1128,Grand Canyon,13,64,92,94,78,75,82.3,81,87,93,,83,87.7,86,0,0,0,1,1,3,1,4,9,2,15,1
2025,1127,High Point,13,64,82,69,67,66,67.3,65,81,84,,85,83.3,85,0,0,0,0,1,0,1,0,9,3,17,2
2025,1126,Houston,1,2,3,5,2,2,3,3,2,3,,1,2,2,7,3,13,3,7,1,20,4,5,0,5,0
2025,1125,Illinois,6,32,17,22,30,25,25.7,26,23,20,,23,22,22,4,8,8,10,7,2,15,12,0,0,6,0
2025,1124,Iowa St.,3,32,9,23,13,18,18,19,7,10,,8,8.3,8,2,5,9,7,7,2,16,9,2,0,6,0
2025,1123,Kansas,7,64,20,24,26,26,25.3,25,14,21,,20,18.3,17,4,9,6,11,7,1,13,12,5,0,3,0
2025,1122,Kentucky,3,16,15,9,12,9,10,9,17,16,,17,16.7,15,7,8,11,10,1,1,12,11,4,0,6,0
2025,1121,Liberty,12,64,60,49,62,60,57,58,85,62,,56,67.7,67,0,0,0,0,3,2,3,2,14,4,8,0
2025,1120,Lipscomb,14,64,84,104,115,92,103.7,102,106,83,,102,97,98,0,1,0,2,1,2,1,4,6,3,16,2
2025,1119,Louisville,8,64,23,16,11,17,14.7,13,28,23,,19,23.3,23,1,4,5,6,10,1,15,7,7,0,5,0
2025,1118,Marquette,7,64,26,30,23,29,27.3,28,20,28,,31,26.3,27,2,6,6,8,7,2,13,10,5,0,5,0
2025,1117,Maryland,4,16,10,17,18,19,18,19,13,13,,10,12,12,4,5,8,7,6,1,14,8,3,0,8,0
2025,1116,McNeese St.,12,32,58,77,64,59,66.7,64,66,59,,63,62.7,62,0,1,0,2,1,2,1,4,6,2,18,0
2025,1115,Memphis,5,64,50,14,14,23,17,16,46,52,,61,53,55,2,1,6,1,5,2,11,3,11,2,7,0
2025,1114,Michigan,5,16,25,8,16,12,12,11,29,26,,26,27,28,6,4,12,7,4,2,16,9,7,0,2,0
2025,1113,Michigan St.,2,8,11,7,8,7,7.3,7,11,8,,13,10.7,11,5,3,13,4,5,2,18,6,5,0,4,0
2025,1112,Mississippi,6,16,28,18,22,13,17.7,17,32,25,,28,28.3,29,5,7,8,10,5,1,13,11,2,0,7,0
2025,1111,Mississippi St.,8,64,34,27,34,30,30.3,30,35,32,,32,33,34,2,7,7,10,6,2,13,12,2,0,6,0
2025,1110,Missouri,6,64,16,29,29,24,27.3,28,31,15,,16,20.7,21,4,6,7,11,3,0,10,11,4,0,8,0
2025,1109,Montana,14,64,143,125,90,79,98,95,173,157,,133,154.3,154,0,3,0,4,1,2,1,6,4,3,17,0
2025,1108,Mount St. Mary's,16,64,236,184,168,160,170.7,173,239,250,,263,250.7,253,0,1,0,2,0,1,0,3,4,1,17,8
2025,1107,Nebraska Omaha,15,64,160,156,149,139,148,149,211,156,,126,164.3,163,0,1,0,1,0,6,0,7,7,1,13,4
2025,1106,New Mexico,10,32,42,32,33,34,33,32,49,41,,40,43.3,42,1,1,4,4,7,1,11,5,4,2,10,0
2025,1105,Norfolk St.,16,64,183,167,122,114,134.3,133,171,180,,195,182,183,0,2,0,2,1,2,1,4,4,3,16,3
2025,1104,North Carolina,11,64,36,54,38,43,45,47,25,33,,36,31.3,32,0,10,1,12,8,0,9,12,7,1,6,0
2025,1103,Oklahoma,9,64,43,42,36,32,36.7,37,43,38,,46,42.3,41,4,10,7,11,4,1,11,12,2,1,7,0
2025,1102,Oregon,5,32,29,11,21,14,15.3,15,36,31,,39,35.3,36,5,4,8,7,8,2,16,9,5,0,3,0
2025,1101,Purdue,4,16,19,12,27,20,19.7,21,21,19,,18,19.3,18,3,8,7,10,9,1,16,11,2,0,4,0
2025,1100,Robert Morris,15,64,139,110,101,95,102,100,168,139,,150,152.3,152,0,0,0,1,2,0,2,1,9,4,14,3
2025,1099,Saint Francis,16,68,297,273,330,236,279.7,280,307,311,,301,306.3,309,0,2,0,4,0,1,0,5,2,4,11,8
2025,1098,Saint Mary's,7,32,21,20,25,27,24,24,30,22,,24,25.3,25,2,1,4,3,6,2,10,5,7,0,10,0
2025,1097,San Diego St.,11,68,52,39,47,44,43.3,41,54,46,,54,51.3,53,1,2,3,6,5,2,8,8,4,1,8,0
2025,1096,SIU Edwardsville,16,64,216,225,185,153,187.7,185,240,217,,218,225,230,0,1,0,2,0,0,0,2,2,2,17,7
2025,1095,St. John's,2,32,13,10,7,8,8.3,8,12,12,,15,13,13,2,1,6,4,11,0,17,4,7,0,6,0
2025,1094,Tennessee,2,8,5,4,5,5,4.7,5,5,5,,6,5.3,5,7,6,11,7,5,0,16,7,5,0,6,0
2025,1093,Texas,11,68,39,58,53,46,52.3,53,34,44,,48,42,40,3,7,7,10,3,5,10,15,2,0,7,0
2025,1092,Texas A&M,4,32,18,13,17,11,13.7,12,22,17,,22,20.3,19,5,6,7,9,9,1,16,10,1,0,5,0
2025,1091,Texas Tech,3,8,7,21,10,15,15.3,15,8,7,,7,7.3,7,4,5,9,5,4,3,13,8,6,0,6,0
2025,1090,Troy,14,64,99,107,102,97,102,100,109,98,,103,103.3,103,0,2,0,3,2,1,2,4,5,3,14,3
2025,1089,UC San Diego,12,64,35,40,46,45,43.7,43,57,36,,44,45.7,44,1,0,2,1,2,1,4,2,9,2,15,0
2025,1088,UCLA,7,32,27,28,28,28,28,29,27,27,,25,26.3,27,5,4,9,8,5,1,14,9,1,1,7,0
2025,1087,UNC Wilmington,14,64,102,88,84,83,85,83,111,105,,109,108.3,107,0,1,0,1,0,0,0,1,8,3,17,3
2025,1086,Utah St.,10,64,37,34,37,38,36.3,36,44,51,,49,48,48,1,0,2,4,8,3,10,7,5,0,10,0
2025,1085,Vanderbilt,10,64,48,47,41,37,41.7,39,56,49,,42,49,50,3,7,5,9,4,3,9,12,3,0,8,0
2025,1084,VCU,11,64,31,36,48,51,45,47,33,30,,29,30.7,31,0,0,2,1,6,4,8,5,6,0,13,1
2025,1083,Wisconsin,3,32,14,15,9,10,11.3,10,18,11,,12,13.7,14,3,6,8,8,10,1,18,9,2,0,6,0
2025,1082,Wofford,15,64,131,133,187,187,169,169,139,120,,145,134.7,133,0,1,0,1,2,4,2,5,6,9,9,1
2025,1081,Xavier,11,64,45,60,42,49,50.3,49,39,43,,37,39.7,38,1,5,1,9,8,2,9,11,5,0,7,0
2025,1080,Yale,13,64,72,74,75,77,75.3,73,67,74,,79,73.3,74,0,1,0,1,2,1,2,2,6,3,13,2
2024,1079,Akron,14,64,108,112,106,,109,111,107,116,,,111.5,109,0,0,0,3,2,3,2,6,6,2,14,2
2024,1078,Alabama,4,4,9,9,17,,13,13,10,13,,,11.5,12,2,8,4,10,7,1,11,11,7,0,3,0
2024,1077,Arizona,2,16,4,7,13,,10,10,5,6,,,5.5,6,4,1,8,3,7,4,15,7,8,1,2,0
2024,1076,Auburn,4,64,5,8,11,,9.5,9,4,4,,,4,4,1,5,3,7,10,0,13,7,9,0,5,0
2024,1075,Baylor,3,32,14,11,8,,9.5,9,13,14,,,13.5,14,3,8,10,9,4,1,14,10,3,0,5,0
2024,1074,Boise St.,10,68,27,29,61,,45,44,48,39,,,43.5,45,4,4,6,5,3,4,9,9,3,1,8,0
2024,1073,BYU,6,64,12,30,21,,25.5,25,17,16,,,16.5,16,3,4,6,8,5,2,11,10,4,0,8,0
2024,1070,College of Charleston,13,64,97,82,75,,78.5,80,97,98,,,97.5,100,0,1,0,1,1,2,1,3,11,4,14,0
2024,1072,Clemson,6,8,35,18,34,,26,26,28,35,,,31.5,31,3,2,5,5,5,5,10,10,6,1,5,0
2024,1071,Colgate,14,64,125,170,115,,142.5,145,111,145,,,128,127,0,2,0,2,1,3,1,5,2,1,21,3
2024,1069,Colorado,10,32,25,32,37,,34.5,31,44,27,,,35.5,36,0,3,4,5,6,5,10,10,7,0,7,0
2024,1068,Colorado St.,10,64,36,28,56,,42,42,71,38,,,54.5,54,1,6,6,7,3,2,9,9,7,1,6,0
2024,1067,Connecticut,1,1,2,3,2,,2.5,3,2,1,,,1.5,2,8,2,13,3,8,0,21,3,1,0,9,0
2024,1066,Creighton,3,16,11,15,14,,14.5,14,9,11,,,10,10,4,3,8,5,7,4,15,9,1,0,7,0
2024,1065,Dayton,7,32,23,12,25,,18.5,18,30,33,,,31.5,31,0,1,3,4,5,3,8,7,9,0,7,0
2024,1064,Drake,10,64,47,22,43,,32.5,28,53,51,,,52,52,0,1,4,1,3,3,7,4,9,2,11,0
2024,1063,Duke,4,8,10,19,15,,17,17,8,8,,,8,8,3,3,5,4,6,4,11,8,7,0,6,0
2024,1062,Duquesne,11,32,83,37,79,,58,58,90,90,,,90,90,1,2,2,3,6,5,8,8,5,3,10,0
